job_title,job_url,company_name,location,posted,job_description
"Software Engineer, University Grad with verification",https://www.linkedin.com/jobs/view/4295123743/,Glean,San Francisco Bay Area (Hybrid),,
Associate Software Engineer with verification,https://www.linkedin.com/jobs/view/4386890681/,Morgan Stanley,"New York, NY",,
Software Engineer - All Levels with verification,https://www.linkedin.com/jobs/view/4286961888/,GlossGenius,"New York, NY",,
Software Engineer (All Levels),https://www.linkedin.com/jobs/view/4394990220/,Blossom,"New York, NY (On-site)",,"Blossom Health exists to solve the mental health epidemic in America by partnering with psychiatrists to expand access to affordable, timely, clinically-effective mental healthcare. Our AI-native care platform is loved by hundreds of clinicians and thousands of patients.

We’re a Series A company with $20M+ raised from Headline, Village Global, and the founders of General Catalyst, Flatiron Health, Sword Health, Grow Therapy, Fay, Elemy, Zip, Blank Street, Assured, Bridge, Birches Health, and Enzo Health.

Why you should work here:
🚀 Hyper-growth environment: Get firsthand exposure to how a startup scales from 0→1→n, with visibility across product, engineering, and operations
🤝 High trust and autonomy: You’ll own meaningful projects from day one and shape both technical decisions and product direction. We trust engineers to figure out the best path forward - without micromanagement. 
🧠 Talent-dense team: Work with a top-percentile team built on mutual respect and admiration, with shared goals, motivations, and vision for the future. 
⚡ Real impact: Your code will directly improve access to mental health care for thousands of patients and clinicians
What we're looking for:
Highly motivated, ambitious, and capable - looking to tackle a large, meaningful problem area
Ownership mindset - thinking for the long-term and placing the business and our customers first
High velocity and high excellence - have a real sense of urgency to move quickly and take pride in the quality of your work
An explorer - comfortable with ambiguity and autonomy, seeking to answer questions previously unasked, to leap into the unknown
An optimist - you believe in a tomorrow better than today
A builder - you take joy in bringing new creation to the world, in leveraging technology to make useful things
Humble - you use your gifts in the service of others and understand that success is an output, not an input
What you'll do:
Design and build scalable, reliable systems powering core product workflows
Ship high-quality code that balances speed and technical rigor
Proactively identifying and resolving system reliability risks, owning uptime, observability, and performance as first-class engineering concerns
Leverage cutting-edge AI to create intuitive and novel clinician and patient experiences
Conduct thoughtful code reviews and provide technical mentorship, raising the bar for engineering excellence across the team and beyond
You'll thrive here if you:
Have a bachelor's degree or equivalent experience in Computer Science or related field
Have 2+ years of professional working experience outperforming in high-quality environments
Excel at building production systems end-to-end with minimal oversight
Are fluent in TypeScript and/or Python (experience with LLM-powered apps preferred)
Are comfortable with traversing the software stack and picking up the latest technologies to drive technical outcomes
Love autonomy, ambiguity, and ownership
Are authorized to work in the U.S. and excited to be in-person in NYC (SoHo) 5 days a week
Benefits:
Competitive salary, equity, growth opportunities
Best-in-class health, dental, and vision insurance
A focus on outcomes, not hours, with unlimited PTO
Team outings, offsites, and a sunny SoHo office stocked with snacks
Compensation Range: $150K - $220K"
"Software Engineer I, Front End",https://www.linkedin.com/jobs/view/4338985000/,True Anomaly,"Long Beach, CA (On-site)",,"A new space race has begun. True Anomaly seeks those with the talent and ambition to build innovative technology that solves the next generation of engineering, manufacturing, and operational challenges for space security and sustainability.

OUR MISSION

The peaceful use of space is essential for continued prosperity on Earth—from communications and finance to navigation and logistics. True Anomaly builds innovative technology at the intersection of spacecraft, software, and AI to enhance the capabilities of the U.S., its allies, and commercial partners. We safeguard global security by ensuring space access and sustainability for all.

OUR VALUES

Be the offset. We create asymmetric advantages with creativity and ingenuity
What would it take? We challenge assumptions to deliver ambitious results
It’s the people. Our team is our competitive advantage and we are better together
YOUR MISSION

Software is the central nervous system for True Anomaly’s engineering and product thesis. Software bridges the gap between military objectives, theoretical astrodynamics and the human and autonomous control of spacecraft and ground systems in time and space. True Anomaly is seeking a dedicated Front End Software Engineer to contribute to the continuing evolution of our complex spacecraft modeling and simulation software.

You do not need to have experience building space ground systems or experience in aerospace. You’ll have ownership of challenging, greenfield problems and a chance to fundamentally impact the outcome of future conflict (and the future of the company), all while enjoying world-class benefits including platinum healthcare, flexible work hours/location, highly competitive compensation and a generous stock options package.

Responsibilities
Assist in building web-based frontend space ground system software, both 2D and 3D
Write testable and maintainable code following industry best practices
Work on smaller, well-defined tasks under the guidance of senior engineers
Collaborate with cross functional teams including space operators, designers, backend engineers, and astrodynamics algorithm engineers
Participate in design and code reviews to continually improve code quality 
Qualifications
0 - 2 Years of software development experience
Understanding of HTML/CSS and modern TypeScript/JavaScript
Familiarity with modern React (Hooks, Context API, functional component patterns) 
Exposure to testing frameworks like Jest, Vitest and React Testing Library
Familiarity with component libraries, design systems, Storybook and CSS-in-JS
Basic understanding of gRPC, RESTful, WebSocket or GraphQL based services
Comfort with Git and Agile tools and processes
Comfort both contributing to existing systems and building from scratch 
U.S. Citizen and eligible for DoD Secret or TS/SCI clearance
Preferred Skills And Experience
A strong engineering background in school and/or work experience ideally in Software Engineering, Math, Physics, or other related fields
Some experience building, shipping, and maintaining real production software
Experience using React to build complex yet performant data rich/dense applications
Experience in Three.js, React Three Fiber, or other web-based 3D libraries and frameworks
Experience in UI/UX design and support tools like Figma
Practical space industry experience
Strong collaboration and communication skills that let you thrive in a culture that values respectful, professional, and constructive conflict 
Compensation
Colorado Base Salary: $90,000 - $125,000
California Base Salary: $95,000 - $130,000
Equity + Benefits including Health, Dental, Vision, HRA/HSA options, PTO and paid holidays, 401K, Parental Leave 
Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, location, and experience.

Additional Requirements
Work Location—This is an fully onsite role. Candidates must be based in or able to commute to our Denver or Long Beach office daily. 
Work environment—the work environment; temperature, noise level, inside or outside, or other factors that will affect the person's working conditions while performing the job. 
Physical demands—the physical demands of the job, including bending, sitting, lifting and driving. 
This position will be open until it is successfully filled. To submit your application, please follow the directions below.

To conform to U.S. Government space technology export regulations, including the International Traffic in Arms Regulations (ITAR) you must be a U.S. citizen, lawful permanent resident of the U.S., protected individual as defined by 8 U.S.C. 1324b(a)(3), or eligible to obtain the required authorizations from the U.S. Department of State.

True Anomaly is committed to equal employment opportunity on any basis protected by applicable state and federal laws. If you have a disability or additional need that requires accommodation, please do not hesitate to let us."
Software Developer (Full Stack) with verification,https://www.linkedin.com/jobs/view/4397183980/,Phenom,"Ambler, PA (On-site)",,"Job Requirements

Our purpose is to help a billion people find the right job! Phenom is an AI-Powered talent experience platform that is redefining the HR tech space. We have grown into a global organization with offices in 6 countries and over 1,700 employees. As an HR tech unicorn organization, innovation and creativity is within our DNA. Come help us make every talent moment Phenomenal!

We are looking for a Software Developer (Full-Stack) to design and develop scalable, secure, and highly efficient backend services and systems. You will work on building innovative solutions and ensure the operational excellence of our platforms.

Key Responsibilities
Design and develop end-to-end full-stack systems that are scalable, secure, and maintainable, ensuring seamless integration between frontend and backend components.
Lead full-stack product development efforts, translating business objectives into technical solutions with a focus on SAAS architecture, user experience, and backend system performance.
Develop and maintain frontend user interfaces using JavaScript and React.js, while ensuring backend services in Java/J2EE, REST APIs, and MongoDB are efficient and scalable.
Ensure systems are compatible with DevOps processes, implementing best practices for CI/CD pipelines, logging, monitoring, and overall operational needs.
Work independently and collaboratively on full-stack projects, delivering high-quality, scalable solutions in a fast-paced environment.
Maintain operational excellence by reducing on-call volume, driving Root Cause Analysis (RCA) for full-stack systems, and fostering system-wide improvements.
Collaborate with cross-functional teams, including product managers and designers, to ensure successful product delivery and alignment with business requirements.
Work Experience
2+ years of software development experience, focusing on full-stack development.
Hands on experience with Java/J2EE and building backend services using REST and JSON.
Strong frontend experience with JavaScript and React.js, building responsive and user-friendly web applications.
Experience designing and implementing scalable, distributed systems in production environments.
Strong understanding of cloud platforms (AWS, Azure) and hands-on experience with cloud-based deployments.
Salary
Expected salary range $90,000 - $110,000
Please note the Salary range is subject to change in the future in accordance with Phenom’s policies"
Full Stack Engineer,https://www.linkedin.com/jobs/view/4386550028/,Bobyard,"San Francisco, CA (On-site)",,"Position Overview

Bobyard’s growing uncomfortably fast. There are so many new things we need to build while also scaling our existing infra to keep up with the demand.

You will have very high autonomy in designing, executing, and iterating on products. We are a startup, and we move fast. You will be the world’s leading expert on the products you build. We look for world-class engineers who have both a vision for the product but also the ability to go heads down and produce exceptional code.

Responsibilities
Build and maintain the full product stack (React, Django, PostgreSQL)
Design and scale backend APIs and data models
Own frontend architecture and UI performance
Work closely with product, CV, and design to ship cohesive features
Deploy and operate infrastructure across AWS, GCP, and Heroku
Debug production issues and continuously improve reliability
Rapidly prototype, iterate, and refine features used by real customers
Desired Attributes
Highly motivated and comfortable operating with minimal structure
Strong product sense — you care about why features exist, not just how
Excellent fundamentals in web architecture and system design
Comfortable moving between frontend and backend work
Fast learner, resourceful, and proactive in solving ambiguous problems
Strong work ethic — this is a startup, not a cushy big-tech role
Organized and able to manage many parallel workstreams
This is a full-time & in-person role in SF. Learning rate and dedication are vital factors. If you can prove that you can execute on the products our customers are waiting for at the speed and quality the market demands (or if you can prove that you will acquire the ability to do so fast enough), we would love to work with you.

Compensation Range: $120K - $150K"
"Backend Engineer, Music with verification",https://www.linkedin.com/jobs/view/4397378559/,Spotify,"New York, NY (Remote)",,"In the Music Mission, we build the tools and services that enable creators to express themselves, promote their work, and connect with fans. Discovery Mode is a key promotional tool that helps artists, labels, and licensors grow their audience while maintaining a high-quality listener experience.

You’ll join the Bonfire team, where we focus on building the entire end-to-end campaign booking experience, from intuitive frontend interfaces to the backend services that power them. As a member of the Bonfire team, you’ll own the full lifecycle of campaign management tools, ensuring that the flow—from the first click to the final execution—is seamless, reliable, and scalable.

What You'll Do

Build backend services that power campaign booking and management flows
Design and develop APIs that support campaign creation and execution
Work closely with product and design to bring new features to life
Improve system scalability, performance, and reliability
Contribute to a collaborative engineering culture through code reviews and knowledge sharing
Help evolve our architecture as we grow and scale
Who You Are

You have experience developing backend systems using Java 
You know how to design APIs and work with service-based architectures 
You write clean, maintainable, and well-tested code 
You care about performance, scalability, and system reliability 
You enjoy working collaboratively in cross-functional teams 
You are curious, proactive, and motivated to learn and grow 
You have experience contributing to production systems 
You are driven to leverage AI to improve our systems, and eager to find practical ways to apply it 
Where You'll Be

We offer you the flexibility to work where you work best! For this role, you can be within the North America region as long as we have a work location.
This team operates within the Eastern Standard time zone for collaboration.
The United States base range for this position is $107,483- $153,547 equity. The benefits available for this position include health insurance, six month paid parental leave, 401(k) retirement plan, monthly meal allowance, 23 paid days off, 13 paid flexible holidays, paid sick leave. These ranges may be modified in the future.

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

At Spotify, we are passionate about inclusivity and making sure our entire recruitment process is accessible to everyone. We have ways to request reasonable accommodations during the interview process and help assist in what you need. If you need accommodations at any stage of the application or interview process, please let us know - we’re here to support you in any way we can.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service."
Associate Software Engineer,https://www.linkedin.com/jobs/view/4394780252/,Haystack,"Missouri, United States (Hybrid)",,"Associate Software Engineer | St Louis | Hybrid | $78,200 - $105,800/year
We're hiring for a leading organization within the defense industry, renowned for its work in precision engagement systems and its commitment to national security. This employer offers a dynamic environment where innovation and collaboration drive the development of advanced defense solutions.
The Role
• Develop, integrate, test, and deliver complex software solutions for weapon systems
• Collaborate with a multi-disciplinary engineering team on operational flight program software
• Participate in all phases of the software development lifecycle within an Agile environment
• Implement real-time embedded software applications for guidance, navigation, and mission management
• Analyze problem reports and troubleshoot software defects
• Opportunity to work directly with United States Air Force and Navy customers
What You'll Need
• Bachelor’s degree in an engineering discipline (required at time of application)
• 1+ years of experience with the Software Development Lifecycle (Requirements Analysis, Design, Code, Integration & Test)
• 1+ years of experience developing software using Object-Oriented Principles
• Experience with one or more of the following languages: C++, C#, Java or Ada
• Ability to obtain a U.S. Security Clearance (U.S. Citizenship required)
• Eagerness to develop leadership skills and experience
What's On Offer
• Competitive salary with potential for a signing bonus for eligible candidates
• Comprehensive benefits package including health insurance, retirement plans, and paid time off
• Opportunity for relocation assistance
• Exposure to cutting-edge defense technology and impactful projects
Apply via Haystack today!"
"Frontend Engineer, ChatGPT Engineering with verification",https://www.linkedin.com/jobs/view/4358810863/,OpenAI,Buffalo-Niagara Falls Area,,"About The Team

ChatGPT Engineering builds the product surfaces people use every day—bringing new model capabilities to life through fast, polished, and trustworthy user experiences. Frontend engineering sits at the center of that work: partnering closely with design, product, research, and backend teams to ship features that are intuitive, performant, and reliable at global scale.

Our teams span Growth, Ecosystems, Personalization, Search & Knowledge Experiences, Platform UI, and more—building UI foundations and product experiences that help users discover, trust, and get value from ChatGPT.

About The Role

We’re hiring Front End Software Engineers to build best-in-class product experiences across ChatGPT. You’ll work on high-impact user flows, UI architecture, and performance—shipping features that make advanced AI feel simple, responsive, and delightful.

What You’ll Do

Build and ship high-quality product experiences across web surfaces.
Partner with design and product to translate ideas into polished, accessible UI.
Own frontend architecture decisions—component systems, state management, routing, and client-side performance.
Improve reliability, observability, and quality through testing, monitoring, and tooling.
Collaborate closely with backend and data teams to integrate APIs and deliver end-to-end features.
Contribute to long-term technical direction and participate in design/architecture reviews.
You Might Thrive Here If You
Have strong frontend experience with modern web frameworks (e.g., React, TypeScript) and building production UI at scale.
Care deeply about performance, accessibility, and craft—and you sweat the details without losing speed.
Enjoy working across the stack and partnering tightly with design and product.
Are energized by ambiguity and moving quickly while maintaining a high quality bar.
Location

We are open to hiring in San Francisco, New York, and Seattle.

About OpenAI

OpenAI is an AI research and deployment company dedicated to ensuring that general-purpose artificial intelligence benefits all of humanity. We push the boundaries of the capabilities of AI systems and seek to safely deploy them to the world through our products. AI is an extremely powerful tool that must be created with safety and human needs at its core, and to achieve our mission, we must encompass and value the many different perspectives, voices, and experiences that form the full spectrum of humanity.

We are an equal opportunity employer, and we do not discriminate on the basis of race, religion, color, national origin, sex, sexual orientation, age, veteran status, disability, genetic information, or other applicable legally protected characteristic.

For additional information, please see OpenAI’s Affirmative Action and Equal Employment Opportunity Policy Statement.

Background checks for applicants will be administered in accordance with applicable law, and qualified applicants with arrest or conviction records will be considered for employment consistent with those laws, including the San Francisco Fair Chance Ordinance, the Los Angeles County Fair Chance Ordinance for Employers, and the California Fair Chance Act, for US-based candidates. For unincorporated Los Angeles County workers: we reasonably believe that criminal history may have a direct, adverse and negative relationship with the following job duties, potentially resulting in the withdrawal of a conditional offer of employment: protect computer hardware entrusted to you from theft, loss or damage; return all computer hardware in your possession (including the data contained therein) upon termination of employment or end of assignment; and maintain the confidentiality of proprietary, confidential, and non-public information. In addition, job duties require access to secure and protected information technology systems and related data security obligations.

To notify OpenAI that you believe this job posting is non-compliant, please submit a report through this form. No response will be provided to inquiries unrelated to job posting compliance.

We are committed to providing reasonable accommodations to applicants with disabilities, and requests can be made via this link.

OpenAI Global Applicant Privacy Policy

At OpenAI, we believe artificial intelligence has the potential to help people solve immense global challenges, and we want the upside of AI to be widely shared. Join us in shaping the future of technology."
